"PERMVIT","RELJCT1","WEIGHT","MAKE","MODEL","ROLLOVER","VNUM_LAN","VTRAFCON","PCRASH5","ACC_TYPE","MDLYR_IM","IMPACT1_IM","PCRASH1_IM","INJ_SEV","REST_USE","AIR_BAG","SEX_IM","AGE_IM"
2,8,157.3009050596115,49,40,0,6,3,1,68,1997,12,11,2,3,1,1,68
2,0,67.26078682861424,48,401,0,2,0,2,47,2017,10,15,2,3,20,1,68
5,0,13.4330160833567,49,32,0,2,0,1,21,2014,6,5,3,3,20,1,39
4,0,40.423515093957,55,35,0,4,0,2,45,2015,5,1,3,20,20,1,30
4,0,159.38534426169915,23,472,0,4,3,1,69,2009,12,1,2,3,1,1,50
15,0,29.267514429412802,20,22,0,2,0,1,98,2010,6,1,2,3,8,1,18
2,0,68.14022451783879,12,37,0,2,0,1,45,2017,1,14,2,3,8,2,19
2,0,134.16239801345264,84,881,1,3,0,2,47,2016,10,15,3,20,20,1,62
2,0,68.22883241950046,20,481,0,4,0,1,45,2014,62,1,2,3,20,1,55
5,8,76.42125784963191,34,34,0,2,0,1,21,2017,6,5,2,3,20,2,35
2,0,157.3009050596115,37,32,0,4,0,1,28,2012,12,1,2,3,20,2,27
1,0,26.851705191032803,49,40,9,2,0,4,1,2005,1,14,3,3,9,2,34
1,0,48.36904122588877,35,47,0,8,0,4,2,2012,9,14,3,20,8,1,25
1,0,159.99945569024,12,401,0,8,0,4,3,2001,12,14,2,3,1,2,45
3,8,32.50973585801308,55,37,0,2,20,1,87,2006,81,1,2,3,9,1,21
3,8,32.50973585801308,20,481,9,2,0,1,86,2001,12,1,3,3,9,1,54
2,0,193.3845998924806,7,24,0,2,0,2,45,2007,62,1,2,3,20,2,36
2,0,193.3845998924806,52,37,0,2,0,2,44,2007,83,1,2,3,20,1,28
10,0,30.935279895580006,53,705,0,5,0,1,45,2015,12,1,3,19,20,1,23
2,0,15.05717047483634,35,50,0,5,0,4,1,2016,12,1,3,20,9,1,18
2,0,15.05717047483634,55,35,0,5,0,1,98,2012,12,1,2,3,20,1,31
4,0,27.53492415569608,49,472,1,2,20,1,82,1999,10,11,3,3,20,2,53
4,0,27.53492415569608,2,403,0,2,40,1,83,1997,12,1,3,3,1,1,50
1,0,27.53492415569608,35,49,0,5,0,4,1,2005,12,1,3,3,20,1,30
1,0,27.297360647536284,20,421,0,2,0,4,7,2013,11,1,3,3,8,2,27
1,0,36.67099924127668,7,402,9,2,0,4,2,2001,0,1,4,3,20,2,33
4,0,67.78164858225554,18,22,0,2,20,1,98,2015,12,5,2,3,1,1,27
3,0,27.297360647536284,20,482,0,2,0,2,64,2007,11,1,3,20,3,1,55
3,0,27.297360647536284,12,37,0,5,3,1,86,2009,12,1,3,3,8,2,55
2,0,28.249911999837362,53,705,0,4,0,1,68,2003,3,11,2,29,20,1,52
1,1,27.297360647536284,7,20,1,1,0,4,2,2004,1,14,3,3,20,2,23
2,0,30.426502214484568,72,706,0,4,0,1,20,2014,12,1,2,19,20,1,48
6,0,29.71208287092207,30,47,1,2,20,1,88,2004,12,1,3,3,9,1,18
2,0,31.60391758534147,6,52,0,2,0,2,50,2004,12,14,3,20,9,1,45
2,0,31.60391758534147,18,23,0,3,3,1,82,2007,11,11,3,3,20,2,82
2,0,161.55986435414422,12,401,0,2,0,1,21,1995,6,5,2,3,20,2,54
